name,crust,size,energy_kcal_100g,energy_kj_100g,fat_g_100g,sat_g_100g,carb_g_100g,sugars_g_100g,fibre_g_100g,protein_g_100g,salt_g_100g,sodium_g_100g,energy_kcal_serv,energy_kj_serv,fat_g_serv,sat_g_serv,carb_g_serv,sugars_g_serv,fibre_g_serv,protein_g_serv,salt_g_serv,sodium_g_serv,energy_kcal_rda,fat_rda,sat_rda,carb_rda,sugars_rda,fibre_rda,protein_rda,salt_rda,sodium_rda
Meatzza Pizza,Italian Style Crust,Medium,281,1177,13,6,24.6,6.1,2,15.4,1.8,0.71,492,2060,22.7,10.5,43,10.7,3.5,27,3.15,1.24,0.25,0.32,0.52,0.17,0.12,0.12,0.54,0.52,0.52
Meatzza Pizza,Italian Style Crust,Small,298,1249,13.4,6.3,29.3,3,1.7,14.4,1.86,0.73,979,4103,43.9,20.8,96.1,9.7,5.5,47.4,6.09,2.4,0.49,0.63,1.04,0.37,0.11,0.18,0.95,1.01,1
Meatzza Pizza,Stuffed Crust,Large,261,1093,11.5,5.8,24.8,6.1,3.7,12.7,1.51,0.59,710,2972,31.3,15.7,67.6,16.5,10,34.5,4.1,1.61,0.36,0.45,0.78,0.26,0.18,0.33,0.69,0.68,0.67
Meatzza Pizza,Stuffed Crust,Medium,272,1138,12.6,6,26.1,6.2,3.6,11.8,1.58,0.62,690,2888,31.9,15.2,66.3,15.6,9,29.9,4,1.57,0.34,0.46,0.76,0.26,0.17,0.3,0.6,0.67,0.65
Meatzza Pizza,Thin & Crispy Crust,Large,306,1282,15.2,7,27.5,5,1.7,13.9,1.72,0.68,518,2166,25.7,11.8,46.5,8.5,3,23.5,2.9,1.14,0.26,0.37,0.59,0.18,0.09,0.1,0.47,0.48,0.48
Meatzza Pizza,Thin & Crispy Crust,Medium,317,1327,15.8,7.3,27.1,4.8,1.6,15.7,2.13,0.84,486,2034,24.2,11.2,41.6,7.4,2.4,24.1,3.26,1.28,0.24,0.35,0.56,0.16,0.08,0.08,0.48,0.54,0.53
Mexican Hot,Classic Crust,Large,268,1126,11.3,5.6,28.5,6,1.8,12.5,1.56,0.62,658,2762,27.6,13.7,69.8,14.6,4.4,30.6,3.83,1.51,0.33,0.39,0.68,0.27,0.16,0.15,0.61,0.64,0.63
Mexican Hot,Classic Crust,Medium,279,1168,12.2,6.2,29.7,6.1,2,11.5,1.56,0.62,591,2477,25.9,13.1,63.1,12.9,4.2,24.4,3.32,1.31,0.3,0.37,0.66,0.24,0.14,0.14,0.49,0.55,0.55
Mexican Hot,Classic Crust,Small,250,1045,10.4,5.3,26.2,3.9,2.1,12,1.39,0.55,1074,4482,44.6,22.8,112.3,16.5,9.1,51.7,5.98,2.35,0.54,0.64,1.14,0.43,0.18,0.3,1.03,1,0.98
Mexican Hot,Classic Crust,Personal,302,1270,10.4,5.2,40.6,6,2,10.6,1.56,0.61,590,2482,20.3,10.2,79.3,11.8,3.9,20.7,3.05,1.2,0.3,0.29,0.51,0.3,0.13,0.13,0.41,0.51,0.5
Mexican Hot,Italian Style Crust,Large,265,1108,12.3,6.2,23.3,6.7,1.9,14.2,1.65,0.65,548,2295,25.6,12.9,48.3,13.8,3.9,29.4,3.42,1.34,0.27,0.37,0.64,0.19,0.15,0.13,0.59,0.57,0.56
Mexican Hot,Italian Style Crust,Medium,267,1116,12.6,6.4,23.8,6.4,2,13.4,1.69,0.66,482,2018,22.9,11.6,43.1,11.6,3.7,24.2,3.05,1.2,0.24,0.33,0.58,0.17,0.13,0.12,0.48,0.51,0.5
Mexican Hot,Italian Style Crust,Small,284,1192,12.9,6.6,29,3.5,1.8,12.3,1.72,0.68,944,3956,43,22.1,96.3,11.5,5.9,40.7,5.72,2.25,0.47,0.61,1.1,0.37,0.13,0.2,0.81,0.95,0.94
Mexican Hot,Stuffed Crust,Large,250,1047,11.3,6,24.1,6.2,3.6,11.3,1.45,0.57,705,2948,31.7,16.9,67.8,17.6,10.3,31.9,4.07,1.6,0.35,0.45,0.84,0.26,0.2,0.34,0.64,0.68,0.67
Mexican Hot,Stuffed Crust,Medium,262,1096,12.3,6.3,25.5,6.4,3.6,10.5,1.5,0.59,680,2845,32,16.2,66.3,16.6,9.2,27.2,3.9,1.53,0.34,0.46,0.81,0.26,0.18,0.31,0.54,0.65,0.64
Mexican Hot,Thin & Crispy Crust,Large,287,1199,14.6,7.3,26.2,5.4,1.8,11.7,1.61,0.63,512,2141,26.1,13.1,46.8,9.6,3.2,20.9,2.87,1.13,0.26,0.37,0.66,0.18,0.11,0.11,0.42,0.48,0.47
Mexican Hot,Thin & Crispy Crust,Medium,300,1252,15.3,7.7,26.2,5.2,1.6,13.4,1.98,0.78,477,1992,24.4,12.2,41.7,8.3,2.6,21.3,3.16,1.24,0.24,0.35,0.61,0.16,0.09,0.09,0.43,0.53,0.52
Mighty Meaty,Classic Crust,Large,263,1103,10.7,4.9,27.5,5.6,1.8,13.2,1.52,0.6,674,2833,27.6,12.7,70.5,14.3,4.5,34,3.91,1.54,0.34,0.39,0.64,0.27,0.16,0.15,0.68,0.65,0.64
Mighty Meaty,Classic Crust,Medium,271,1136,11.6,5.4,28.4,5.6,1.9,12.4,1.54,0.6,610,2556,26,12.2,63.8,12.6,4.3,28,3.46,1.36,0.3,0.37,0.61,0.25,0.14,0.14,0.56,0.58,0.57
Mighty Meaty,Classic Crust,Small,244,1021,10,4.7,24.8,3.5,2,13,1.39,0.55,1124,4692,45.9,21.6,113.8,16,9.3,59.6,6.39,2.51,0.56,0.66,1.08,0.44,0.18,0.31,1.19,1.06,1.05
Mighty Meaty,Classic Crust,Personal,295,1240,10.3,4.7,38.1,5.5,1.9,11.6,1.53,0.6,621,2613,21.7,9.9,80.3,11.6,4,24.5,3.23,1.27,0.31,0.31,0.5,0.31,0.13,0.13,0.49,0.54,0.53
Mighty Meaty,Italian Style Crust,Large,258,1082,11.7,5.4,22.4,6.2,1.8,15,1.6,0.63,565,2366,25.5,11.8,49.1,13.5,4,32.8,3.5,1.38,0.28,0.36,0.59,0.19,0.15,0.13,0.66,0.58,0.57
Mighty Meaty,Italian Style Crust,Medium,259,1083,11.9,5.5,22.6,5.8,2,14.3,1.65,0.65,501,2097,23,10.6,43.8,11.3,3.8,27.8,3.19,1.25,0.25,0.33,0.53,0.17,0.13,0.13,0.56,0.53,0.52
Mighty Meaty,Italian Style Crust,Small,274,1149,12.2,5.8,27,3,1.7,13.4,1.69,0.67,994,4166,44.3,20.9,97.8,11,6.1,48.6,6.14,2.41,0.5,0.63,1.04,0.38,0.12,0.2,0.97,1.02,1
Mighty Meaty,Stuffed Crust,Large,246,1030,10.8,5.4,23.4,5.9,3.5,12.1,1.42,0.56,721,3020,31.7,15.9,68.6,17.2,10.3,35.4,4.15,1.63,0.36,0.45,0.8,0.26,0.19,0.34,0.71,0.69,0.68
Mighty Meaty,Stuffed Crust,Medium,256,1073,11.8,5.6,24.6,6,3.4,11.3,1.48,0.58,698,2924,32.2,15.3,67.1,16.3,9.3,30.7,4.04,1.59,0.35,0.46,0.76,0.26,0.18,0.31,0.61,0.67,0.66
Mighty Meaty,Thin & Crispy Crust,Large,278,1163,13.7,6.3,25,4.9,1.7,12.8,1.55,0.61,529,2212,26.1,12,47.6,9.3,3.3,24.4,2.95,1.16,0.26,0.37,0.6,0.18,0.1,0.11,0.49,0.49,0.48
Mighty Meaty,Thin & Crispy Crust,Medium,288,1204,14.3,6.6,24.7,4.7,1.6,14.4,1.92,0.75,495,2071,24.5,11.3,42.4,8,2.7,24.8,3.29,1.3,0.25,0.35,0.57,0.16,0.09,0.09,0.5,0.55,0.54
Mixed Grill,Classic Crust,Large,257,1080,10.1,4.1,28.4,5.6,1.8,12.3,1.33,0.52,638,2686,25.1,10.1,70.7,14,4.4,30.5,3.3,1.3,0.32,0.36,0.5,0.27,0.16,0.15,0.61,0.55,0.54
Mixed Grill,Classic Crust,Medium,265,1113,10.9,4.5,29.5,5.7,1.9,11.4,1.31,0.52,577,2421,23.7,9.7,64.1,12.4,4.2,24.7,2.86,1.12,0.29,0.34,0.48,0.25,0.14,0.14,0.49,0.48,0.47
Mixed Grill,Classic Crust,Small,239,999,9.4,3.8,25.6,3.5,2,12,1.18,0.47,1069,4473,42.3,17,114.5,15.5,9.1,53.7,5.3,2.08,0.53,0.6,0.85,0.44,0.17,0.3,1.07,0.88,0.87
Mixed Grill,Classic Crust,Personal,292,1231,10.6,3.7,37.6,5.3,1.8,10.7,1.42,0.56,624,2629,22.7,8,80.4,11.4,3.9,22.8,3.03,1.19,0.31,0.32,0.4,0.31,0.13,0.13,0.46,0.5,0.5
Mixed Grill,Italian Style Crust,Large,251,1053,10.9,4.4,23.4,6.3,1.8,13.9,1.37,0.54,529,2219,23.1,9.2,49.3,13.2,3.9,29.3,2.88,1.13,0.26,0.33,0.46,0.19,0.15,0.13,0.59,0.48,0.47
Mixed Grill,Italian Style Crust,Medium,251,1053,11.1,4.4,23.7,5.9,2,13.2,1.39,0.55,468,1962,20.7,8.2,44.1,11,3.7,24.5,2.59,1.02,0.23,0.3,0.41,0.17,0.12,0.12,0.49,0.43,0.43
Mixed Grill,Italian Style Crust,Small,268,1125,11.6,4.6,28.1,3,1.7,12.2,1.44,0.57,940,3946,40.7,16.3,98.4,10.5,5.9,42.8,5.04,1.98,0.47,0.58,0.82,0.38,0.12,0.2,0.86,0.84,0.82
Mixed Grill,Stuffed Crust,Large,240,1007,10.2,4.7,24.1,5.9,3.6,11.2,1.24,0.49,685,2873,29.2,13.3,68.8,16.9,10.2,31.8,3.54,1.39,0.34,0.42,0.66,0.26,0.19,0.34,0.64,0.59,0.58
Mixed Grill,Stuffed Crust,Medium,251,1052,11.3,4.9,25.4,6,3.5,10.3,1.3,0.51,665,2789,29.9,12.9,67.4,16,9.2,27.4,3.44,1.35,0.33,0.43,0.64,0.26,0.18,0.31,0.55,0.57,0.56
Mixed Grill,Thin & Crispy Crust,Large,271,1134,13,5.2,26.2,4.9,1.7,11.5,1.28,0.5,493,2065,23.6,9.4,47.7,9,3.2,20.9,2.33,0.92,0.25,0.34,0.47,0.18,0.1,0.11,0.42,0.39,0.38
Mixed Grill,Thin & Crispy Crust,Medium,281,1177,13.5,5.4,26,4.7,1.6,13.1,1.64,0.64,462,1936,22.2,8.8,42.7,7.8,2.6,21.6,2.7,1.06,0.23,0.32,0.44,0.16,0.09,0.09,0.43,0.45,0.44
New Yorker,Classic Crust,Large,278,1167,11.5,4.7,29.5,5.8,1.8,13.2,1.59,0.63,644,2707,26.7,10.8,68.3,13.5,4.2,30.6,3.7,1.45,0.32,0.38,0.54,0.26,0.15,0.14,0.61,0.62,0.6
New Yorker,Classic Crust,Medium,288,1207,12.5,5.2,30.5,5.9,2,12.2,1.61,0.63,582,2444,25.3,10.4,61.8,11.9,4,24.8,3.26,1.28,0.29,0.36,0.52,0.24,0.13,0.13,0.5,0.54,0.53
New Yorker,Classic Crust,Small,258,1078,10.8,4.4,26.2,3.5,2.1,12.9,1.46,0.57,1081,4519,45.4,18.4,109.9,14.6,8.6,53.9,6.1,2.4,0.54,0.65,0.92,0.42,0.16,0.29,1.08,1.02,1
New Yorker,Classic Crust,Personal,316,1332,11.7,4.2,40.6,5.7,1.9,11.2,1.63,0.64,610,2568,22.6,8,78.3,10.9,3.7,21.6,3.14,1.24,0.3,0.32,0.4,0.3,0.12,0.12,0.43,0.52,0.52
New Yorker,Italian Style Crust,Large,276,1155,12.7,5.1,24.2,6.5,1.9,15.1,1.69,0.67,534,2240,24.6,9.9,46.9,12.6,3.6,29.3,3.28,1.29,0.27,0.35,0.5,0.18,0.14,0.12,0.59,0.55,0.54
New Yorker,Italian Style Crust,Medium,277,1160,13,5.2,24.4,6.2,2,14.4,1.75,0.69,474,1985,22.3,8.9,41.8,10.5,3.4,24.6,2.99,1.18,0.24,0.32,0.44,0.16,0.12,0.11,0.49,0.5,0.49
New Yorker,Italian Style Crust,Small,295,1240,13.6,5.5,29.1,3,1.7,13.3,1.81,0.71,951,3992,43.8,17.7,93.8,9.5,5.4,42.9,5.84,2.3,0.48,0.63,0.88,0.36,0.11,0.18,0.86,0.97,0.96
New Yorker,Stuffed Crust,Large,257,1078,11.5,5.2,24.7,6.1,3.7,11.9,1.47,0.58,691,2894,30.8,14,66.4,16.4,10,31.9,3.94,1.55,0.35,0.44,0.7,0.26,0.18,0.33,0.64,0.66,0.65
New Yorker,Stuffed Crust,Medium,269,1125,12.6,5.4,26,6.2,3.6,11,1.54,0.6,671,2811,31.4,13.6,65,15.5,9,27.5,3.84,1.51,0.34,0.45,0.68,0.25,0.17,0.3,0.55,0.64,0.63
New Yorker,Thin & Crispy Crust,Large,301,1262,15.2,6.1,27.4,5.1,1.8,12.6,1.65,0.65,498,2086,25.2,10.1,45.4,8.4,2.9,20.9,2.73,1.07,0.25,0.36,0.5,0.17,0.09,0.1,0.42,0.46,0.45
New Yorker,Thin & Crispy Crust,Medium,313,1311,15.9,6.4,27,4.9,1.6,14.5,2.07,0.82,468,1958,23.8,9.5,40.4,7.3,2.4,21.6,3.1,1.22,0.23,0.34,0.48,0.16,0.08,0.08,0.43,0.52,0.51
Original Cheese and Tomato,Classic Crust,Large,284,1195,10.3,5.5,33.5,6.7,2,13.4,1.31,0.52,580,2442,21.1,11.2,68.3,13.6,4,27.4,2.68,1.06,0.29,0.3,0.56,0.26,0.15,0.13,0.55,0.45,0.44
Original Cheese and Tomato,Classic Crust,Medium,296,1241,11.1,6,35.5,6.9,2.2,12.3,1.28,0.5,515,2161,19.4,10.5,61.8,12,3.8,21.4,2.22,0.87,0.26,0.28,0.52,0.24,0.13,0.13,0.43,0.37,0.36
Original Cheese and Tomato,Classic Crust,Small,259,1082,8.9,5,30.8,4.2,2.3,12.8,1.09,0.43,922,3852,31.6,17.6,109.8,14.8,8.3,45.5,3.87,1.52,0.46,0.45,0.88,0.42,0.16,0.28,0.91,0.64,0.63
Original Cheese and Tomato,Classic Crust,Personal,326,1372,9.3,4.9,48.4,6.8,2.2,11,1.34,0.53,526,2220,15.1,7.9,78.2,11,3.6,17.8,2.17,0.85,0.26,0.22,0.4,0.3,0.12,0.12,0.36,0.36,0.35
Original Cheese and Tomato,Italian Style Crust,Large,283,1188,11.5,6.2,28.2,7.7,2.1,15.8,1.37,0.54,471,1975,19,10.3,46.9,12.8,3.4,26.2,2.27,0.89,0.24,0.27,0.52,0.18,0.14,0.11,0.52,0.38,0.37
Original Cheese and Tomato,Italian Style Crust,Medium,284,1191,11.5,6.3,29.2,7.5,2.3,14.8,1.37,0.54,406,1702,16.4,9,41.8,10.7,3.3,21.1,1.96,0.77,0.2,0.23,0.45,0.16,0.12,0.11,0.42,0.33,0.32
Original Cheese and Tomato,Italian Style Crust,Small,300,1261,10.3,5.8,36.2,3.8,2,14.7,1.4,0.55,776,3264,26.7,15,93.7,9.8,5.2,38.1,3.62,1.42,0.39,0.38,0.75,0.36,0.11,0.17,0.76,0.6,0.59
Original Cheese and Tomato,Stuffed Crust,Large,261,1092,10.5,6,27.6,6.9,4.1,12,1.21,0.48,628,2628,25.2,14.4,66.4,16.6,9.8,28.8,2.92,1.15,0.31,0.36,0.72,0.26,0.18,0.33,0.58,0.49,0.48
Original Cheese and Tomato,Stuffed Crust,Medium,272,1141,11.5,6.2,29.3,7.1,4,10.9,1.27,0.5,604,2529,25.5,13.7,65,15.7,8.8,24.1,2.81,1.1,0.3,0.36,0.68,0.25,0.17,0.29,0.48,0.47,0.46
Original Cheese and Tomato,Thin & Crispy Crust,Large,316,1323,14.2,7.6,32.9,6.2,2,12.9,1.25,0.49,435,1821,19.6,10.5,45.4,8.6,2.7,17.8,1.72,0.68,0.22,0.28,0.52,0.17,0.1,0.09,0.36,0.29,0.28
Original Cheese and Tomato,Thin & Crispy Crust,Medium,331,1384,14.8,8,33.3,6.1,1.8,15,1.7,0.67,400,1676,17.9,9.6,40.4,7.4,2.2,18.2,2.06,0.81,0.2,0.26,0.48,0.16,0.08,0.07,0.36,0.34,0.34
Pepperoni Passion,Classic Crust,Large,315,1320,14.9,7.1,30,6,1.7,14.5,1.74,0.68,721,3021,34,16.3,68.6,13.6,4,33.2,3.98,1.56,0.36,0.49,0.82,0.26,0.15,0.13,0.66,0.66,0.65
Pepperoni Passion,Classic Crust,Medium,329,1377,16.2,7.9,31.2,6,1.9,13.6,1.77,0.69,655,2740,32.3,15.6,62.1,12,3.8,27,3.52,1.38,0.33,0.46,0.78,0.24,0.13,0.13,0.54,0.59,0.57
Pepperoni Passion,Classic Crust,Small,297,1237,14.3,6.9,27,3.6,2,14.1,1.6,0.63,1215,5066,58.5,28.4,110.4,14.8,8.3,57.6,6.57,2.58,0.61,0.84,1.42,0.42,0.16,0.28,1.15,1.09,1.08
Pepperoni Passion,Classic Crust,Personal,355,1490,15.1,7.1,41.1,5.8,1.9,12.7,1.85,0.73,678,2846,28.9,13.6,78.6,11,3.6,24.3,3.53,1.39,0.34,0.41,0.68,0.3,0.12,0.12,0.49,0.59,0.58
Pepperoni Passion,Italian Style Crust,Large,320,1338,16.7,8.1,24.7,6.7,1.8,16.7,1.87,0.73,611,2555,32,15.4,47.2,12.8,3.4,31.9,3.56,1.4,0.31,0.46,0.77,0.18,0.14,0.11,0.64,0.59,0.58
Pepperoni Passion,Italian Style Crust,Medium,325,1360,17.4,8.4,25.1,6.4,2,16,1.94,0.76,546,2281,29.3,14.1,42.1,10.7,3.3,26.8,3.25,1.28,0.27,0.42,0.7,0.16,0.12,0.11,0.54,0.54,0.53
Pepperoni Passion,Italian Style Crust,Small,347,1453,18.2,8.9,30.2,3.1,1.6,14.9,2.02,0.79,1085,4539,57,27.7,94.4,9.8,5.2,46.6,6.31,2.48,0.54,0.81,1.38,0.36,0.11,0.17,0.93,1.05,1.03
Pepperoni Passion,Stuffed Crust,Large,289,1208,14.3,7.3,25.1,6.2,3.7,13,1.59,0.63,768,3208,38.1,19.5,66.7,16.6,9.8,34.5,4.22,1.66,0.38,0.54,0.98,0.26,0.18,0.33,0.69,0.7,0.69
Pepperoni Passion,Stuffed Crust,Medium,302,1261,15.6,7.6,26.5,6.4,3.6,12.1,1.66,0.65,743,3108,38.4,18.8,65.3,15.7,8.8,29.8,4.1,1.61,0.37,0.55,0.94,0.25,0.17,0.29,0.6,0.68,0.67
Pepperoni Passion,Thin & Crispy Crust,Large,354,1478,20,9.6,28.1,5.3,1.7,14.5,1.86,0.73,575,2401,32.5,15.6,45.7,8.6,2.7,23.5,3.01,1.19,0.29,0.46,0.78,0.18,0.1,0.09,0.47,0.5,0.5
Pepperoni Passion,Thin & Crispy Crust,Medium,370,1544,21.1,10.1,27.9,5.1,1.5,16.4,2.3,0.9,540,2255,30.8,14.7,40.7,7.4,2.2,23.9,3.35,1.32,0.27,0.44,0.74,0.16,0.08,0.07,0.48,0.56,0.55
Ranch BBQ,Classic Crust,Large,312,1306,15.9,7.1,27.9,11.5,1.8,13.4,1.63,0.64,730,3057,37.3,16.7,65.4,27,4.1,31.4,3.81,1.5,0.36,0.53,0.84,0.25,0.3,0.14,0.63,0.64,0.62
Ranch BBQ,Classic Crust,Medium,328,1377,13.1,5.7,34.9,10.9,1.8,16.7,1.64,0.64,661,2777,26.5,11.4,70.5,21.9,3.6,33.7,3.3,1.3,0.33,0.38,0.57,0.27,0.24,0.12,0.67,0.55,0.54
Ranch BBQ,Classic Crust,Small,329,1379,14.1,5.7,35.1,10.7,1.4,14.7,1.9,0.75,1128,4734,48.3,19.7,120.6,36.9,4.7,50.6,6.51,2.56,0.56,0.69,0.98,0.46,0.41,0.16,1.01,1.08,1.07
Ranch BBQ,Classic Crust,Personal,350,1470,12.6,4.9,42.7,11.4,1.7,15.5,1.9,0.75,680,2861,24.5,9.5,83.2,22.2,3.4,30.2,3.7,1.45,0.34,0.35,0.48,0.32,0.25,0.11,0.6,0.62,0.6
Ranch BBQ,Italian Style Crust,Large,323,1356,13,5.3,37.1,13.8,1.8,13.5,1.97,0.77,633,2658,25.5,10.4,72.8,27.1,3.4,26.5,3.86,1.52,0.32,0.36,0.52,0.28,0.3,0.11,0.53,0.64,0.63
Ranch BBQ,Italian Style Crust,Medium,317,1333,12.8,5.3,36.4,14.3,2.2,13.1,2.02,0.79,677,2844,27.4,11.3,77.7,30.5,4.7,27.9,4.3,1.69,0.34,0.39,0.57,0.3,0.34,0.16,0.56,0.72,0.7
Ranch BBQ,Italian Style Crust,Small,310,1296,13.8,5.9,30.7,11.3,1.6,15.1,1.89,0.75,982,4104,43.8,18.6,97.1,35.9,5.2,47.9,6,2.36,0.49,0.63,0.93,0.37,0.4,0.17,0.96,1,0.98
Ranch BBQ,Stuffed Crust,Large,313,1316,13.4,6.3,29.9,9.1,2.4,17.3,1.89,0.74,848,3562,36.3,17.1,80.9,24.8,6.4,46.7,5.12,2.01,0.42,0.52,0.86,0.31,0.28,0.21,0.93,0.85,0.84
Ranch BBQ,Stuffed Crust,Medium,310,1301,13.2,5.9,29.7,9.8,3.6,16.5,1.73,0.68,773,3241,32.8,14.8,73.9,24.4,9.1,41.2,4.31,1.7,0.39,0.47,0.74,0.28,0.27,0.3,0.82,0.72,0.71
Ranch BBQ,Thin & Crispy Crust,Large,337,1413,15.8,6.4,30,12.4,2.7,17.6,1.99,0.78,564,2367,26.4,10.7,50.3,20.8,4.5,29.4,3.33,1.31,0.28,0.38,0.53,0.19,0.23,0.15,0.59,0.56,0.55
Ranch BBQ,Thin & Crispy Crust,Medium,345,1445,16.4,6.6,32.9,12.3,2.7,15.2,2.07,0.81,513,2149,24.3,9.8,48.9,18.3,4.1,22.6,3.08,1.21,0.26,0.35,0.49,0.19,0.2,0.14,0.45,0.51,0.5
Scrummy,Classic Crust,Large,295,1238,13.1,5.3,28.9,5.6,1.8,14.6,1.74,0.69,728,3058,32.3,13.2,71.3,13.9,4.3,36.2,4.31,1.69,0.36,0.46,0.66,0.27,0.15,0.14,0.72,0.72,0.7
Scrummy,Classic Crust,Medium,305,1276,14,5.8,29.8,5.6,1.9,13.8,1.76,0.69,662,2773,30.5,12.6,64.7,12.2,4.2,30,3.81,1.5,0.33,0.44,0.63,0.25,0.14,0.14,0.6,0.64,0.62
Scrummy,Classic Crust,Small,275,1149,12.3,5.1,25.9,3.4,2,14.2,1.58,0.62,1225,5115,54.9,22.7,115.4,15.3,9,63.1,7.05,2.77,0.61,0.78,1.14,0.44,0.17,0.3,1.26,1.18,1.15
Scrummy,Classic Crust,Personal,327,1374,14,5.4,36.2,5.1,1.8,13.3,1.89,0.74,737,3095,31.5,12.2,81.6,11.4,4,29.8,4.25,1.67,0.37,0.45,0.61,0.31,0.13,0.13,0.6,0.71,0.7
Scrummy,Italian Style Crust,Large,296,1239,14.5,5.9,23.8,6.2,1.8,16.7,1.86,0.73,619,2591,30.2,12.3,49.8,13.1,3.8,35,3.89,1.53,0.31,0.43,0.62,0.19,0.15,0.13,0.7,0.65,0.64
Scrummy,Italian Style Crust,Medium,297,1244,14.8,6,24,5.9,1.9,16,1.91,0.75,553,2314,27.5,11.1,44.7,10.9,3.6,29.8,3.55,1.39,0.28,0.39,0.55,0.17,0.12,0.12,0.6,0.59,0.58
Scrummy,Italian Style Crust,Small,315,1318,15.3,6.3,28.5,3,1.7,15,1.95,0.77,1095,4589,53.3,22,99.3,10.3,5.8,52.1,6.8,2.67,0.55,0.76,1.1,0.38,0.11,0.19,1.04,1.13,1.11
Scrummy,Stuffed Crust,Large,273,1144,12.8,5.8,24.5,5.9,3.6,13.2,1.6,0.63,775,3244,36.4,16.4,69.4,16.8,10.1,37.5,4.55,1.79,0.39,0.52,0.82,0.27,0.19,0.34,0.75,0.76,0.75
Scrummy,Stuffed Crust,Medium,284,1187,13.8,6,25.7,6,3.5,12.4,1.66,0.65,750,3141,36.7,15.8,67.9,15.9,9.2,32.7,4.4,1.73,0.38,0.52,0.79,0.26,0.18,0.31,0.65,0.73,0.72
Scrummy,Thin & Crispy Crust,Large,323,1350,17,6.9,26.8,4.9,1.7,14.7,1.85,0.73,583,2437,30.8,12.5,48.3,8.8,3.1,26.5,3.34,1.31,0.29,0.44,0.62,0.19,0.1,0.1,0.53,0.56,0.55
Scrummy,Thin & Crispy Crust,Medium,333,1393,17.7,7.2,26.3,4.7,1.5,16.4,2.22,0.87,547,2288,29,11.7,43.3,7.7,2.5,26.9,3.65,1.44,0.27,0.41,0.58,0.17,0.09,0.08,0.54,0.61,0.6
Tandoori Hot,Classic Crust,Large,233,984,6.9,3.4,29.8,6.1,1.9,12.1,1.34,0.53,555,2337,16.5,8,70.9,14.4,4.6,28.7,3.19,1.25,0.28,0.24,0.4,0.27,0.16,0.15,0.57,0.53,0.52
Tandoori Hot,Classic Crust,Medium,241,1013,7.4,3.8,31.4,6.2,2.1,11.1,1.32,0.52,492,2070,15.2,7.7,64.2,12.7,4.4,22.6,2.69,1.06,0.25,0.22,0.38,0.25,0.14,0.15,0.45,0.45,0.44
Tandoori Hot,Classic Crust,Small,214,897,6,3.1,27.5,3.9,2.3,11.6,1.15,0.45,889,3720,24.7,12.9,114.2,16.2,9.4,48.3,4.75,1.87,0.44,0.35,0.64,0.44,0.18,0.31,0.97,0.79,0.78
Tandoori Hot,Classic Crust,Personal,271,1143,6.6,3.2,41.6,6,2.1,10.4,1.38,0.54,522,2203,12.6,6.2,80.3,11.6,4,20,2.66,1.05,0.26,0.18,0.31,0.31,0.13,0.13,0.4,0.44,0.44
Tandoori Hot,Italian Style Crust,Large,223,937,7.2,3.6,24.8,6.8,2,13.8,1.39,0.55,445,1870,14.4,7.2,49.5,13.6,4,27.5,2.77,1.09,0.22,0.21,0.36,0.19,0.15,0.13,0.55,0.46,0.45
Tandoori Hot,Italian Style Crust,Medium,222,930,7.1,3.5,25.5,6.6,2.2,12.9,1.4,0.55,383,1611,12.2,6.1,44.1,11.4,3.8,22.4,2.42,0.95,0.19,0.17,0.3,0.17,0.13,0.13,0.45,0.4,0.4
Tandoori Hot,Italian Style Crust,Small,239,1006,7.3,3.8,30.9,3.5,1.9,11.8,1.42,0.56,759,3194,23.1,12.2,98.1,11.2,6.2,37.3,4.5,1.77,0.38,0.33,0.61,0.38,0.12,0.21,0.75,0.75,0.74
Tandoori Hot,Stuffed Crust,Large,220,921,7.5,4.1,25.2,6.3,3.8,11,1.25,0.49,602,2524,20.6,11.2,69,17.4,10.4,30,3.43,1.35,0.3,0.29,0.56,0.27,0.19,0.35,0.6,0.57,0.56
Tandoori Hot,Stuffed Crust,Medium,231,968,8.5,4.3,26.8,6.5,3.7,10.1,1.3,0.51,581,2438,21.4,10.8,67.4,16.4,9.4,25.3,3.27,1.29,0.29,0.31,0.54,0.26,0.18,0.31,0.51,0.55,0.54
Tandoori Hot,Thin & Crispy Crust,Large,239,1004,8.8,4.3,28,5.5,2,11.1,1.3,0.51,409,1716,15,7.4,47.9,9.4,3.4,19,2.23,0.88,0.2,0.21,0.37,0.18,0.1,0.11,0.38,0.37,0.37
Tandoori Hot,Thin & Crispy Crust,Medium,250,1047,9.1,4.5,28.2,5.4,1.8,12.9,1.67,0.66,378,1585,13.7,6.8,42.7,8.1,2.7,19.5,2.53,0.99,0.19,0.2,0.34,0.16,0.09,0.09,0.39,0.42,0.41
Tandoori Sizzler,Classic Crust,Large,227,955,6.8,3.3,29.3,6,1.9,11.4,1.08,0.43,551,2323,16.5,8,71.2,14.7,4.5,27.8,2.64,1.04,0.28,0.24,0.4,0.27,0.16,0.15,0.56,0.44,0.43
Tandoori Sizzler,Classic Crust,Medium,234,983,7.3,3.7,30.8,6.2,2.1,10.4,1.04,0.41,488,2051,15.2,7.7,64.3,12.9,4.3,21.6,2.17,0.86,0.24,0.22,0.38,0.25,0.14,0.14,0.43,0.36,0.36
